src,dst,count
userId_30011,userId_22330,1
userId_20294,userId_22330,3
userId_18708,userId_22330,1
userId_23689,userId_22330,10
userId_34870,userId_22330,1
userId_24722,userId_22330,2
userId_11373,userId_22330,1
userId_19227,userId_22330,10
userId_34754,userId_22330,1
userId_4006,userId_22330,9
userId_28505,userId_22330,1
userId_23864,userId_22330,7
userId_37183,userId_22330,6
userId_29591,userId_22330,5
userId_358,userId_22330,1
userId_25744,userId_22330,1
userId_30886,userId_22330,1
userId_375,userId_22330,1
userId_2031,userId_22330,1
userId_38959,userId_22330,4
userId_5340,userId_22330,1
userId_22385,userId_22330,2
userId_3925,userId_22330,2
userId_28698,userId_22330,9
